;50:1;200:1;1000:1
531;0.154419;0.0271606;-0.0131226
532;0.14801;0.0253296;-0.013732900000000001
533;0.142822;0.023193400000000003;-0.013732900000000001
534;0.13915999999999998;0.0228882;-0.0134277
535;0.132141;0.020752;-0.0140381
536;0.129089;0.0210571;-0.0140381
537;0.12573199999999998;0.0183105;-0.0143433
538;0.119019;0.0180054;-0.0143433
539;0.11413599999999999;0.016479499999999998;-0.0146484
540;0.110474;0.015563999999999998;-0.013732900000000001
541;0.10497999999999999;0.0143433;-0.0143433
542;0.101624;0.013732900000000001;-0.0140381
543;0.0976563;0.0119019;-0.014953600000000001
544;0.0939941;0.011291500000000001;-0.0140381
545;0.0891113;0.0100708;-0.0152588
546;0.08636469999999999;0.0088501;-0.0143433
547;0.0814819;0.00793457;-0.0152588
548;0.0784302;0.00640869;-0.0158691
549;0.07446289999999998;0.00579834;-0.0161743
550;0.0726318;0.00488281;-0.0158691
