	25C	27C	29C	31C	33C	35C	37C	39C	41C	43C	45C
484	0.1297	0.12451199999999998	0.12451199999999998	0.12451199999999998	0.125122	0.12481700000000001	0.12451199999999998	0.124207	0.12329100000000001	0.12085	0.126648
485	0.12573199999999998	0.12145999999999998	0.123901	0.122375	0.12298599999999998	0.12207	0.122681	0.12145999999999998	0.122681	0.119629	0.125122
486	0.12481700000000001	0.12023900000000001	0.12023900000000001	0.121155	0.12145999999999998	0.12176500000000001	0.118103	0.11993399999999999	0.119629	0.11871300000000001	0.12207
487	0.12329100000000001	0.117798	0.119324	0.119019	0.117798	0.11718800000000001	0.119019	0.116272	0.117798	0.116272	0.119629
488	0.12207	0.116882	0.118408	0.115967	0.117493	0.115967	0.116577	0.115051	0.11718800000000001	0.11291500000000002	0.117798
489	0.119019	0.11413599999999999	0.114746	0.11444100000000001	0.115051	0.11291500000000002	0.11291500000000002	0.113525	0.114746	0.11199999999999999	0.11566199999999999
490	0.117493	0.11138900000000002	0.11199999999999999	0.11322	0.112305	0.113525	0.11199999999999999	0.112305	0.11138900000000002	0.107422	0.113525
491	0.115051	0.10986300000000002	0.110168	0.112305	0.11108399999999999	0.110779	0.10955799999999999	0.110474	0.11138900000000002	0.107727	0.11199999999999999
492	0.11383099999999999	0.108643	0.108948	0.110168	0.108948	0.10803199999999999	0.108643	0.107727	0.108643	0.106201	0.110474
493	0.10955799999999999	0.10650599999999999	0.105591	0.106201	0.107117	0.106201	0.10650599999999999	0.10681199999999999	0.105896	0.10345499999999999	0.10681199999999999
494	0.109253	0.10497999999999999	0.10528599999999999	0.104675	0.104065	0.10497999999999999	0.103149	0.10497999999999999	0.104675	0.102539	0.105591
495	0.106201	0.103149	0.102539	0.102234	0.103149	0.101624	0.10040299999999999	0.101624	0.10131799999999999	0.0994873	0.10345499999999999
496	0.105591	0.100708	0.09918210000000001	0.102539	0.100708	0.100708	0.101013	0.09887699999999999	0.10131799999999999	0.0985718	0.101624
497	0.10192899999999999	0.09735110000000001	0.0985718	0.09826660000000001	0.0985718	0.09735110000000001	0.09735110000000001	0.0976563	0.09613039999999999	0.0967407	0.0985718
498	0.10131799999999999	0.09613039999999999	0.09643550000000001	0.09643550000000001	0.09613039999999999	0.09643550000000001	0.0946045	0.0949097	0.0939941	0.0933838	0.09735110000000001
499	0.09826660000000001	0.093689	0.09216310000000001	0.0924683	0.093689	0.09307860000000001	0.09216310000000001	0.0924683	0.09277339999999999	0.09124760000000001	0.093689
500	0.09552000000000001	0.09185789999999999	0.09094239999999999	0.09094239999999999	0.09124760000000001	0.09033200000000001	0.09002689999999999	0.0906372	0.09155269999999999	0.0881958	0.09216310000000001
501	0.09307860000000001	0.0881958	0.08697510000000001	0.0894165	0.088501	0.0888062	0.0872803	0.0875854	0.08789060000000001	0.0857544	0.0891113
502	0.09124760000000001	0.0854492	0.0860596	0.0857544	0.0854492	0.0860596	0.08514400000000001	0.0854492	0.0854492	0.0827026	0.0875854
503	0.088501	0.083313	0.083313	0.0820923	0.0836182	0.08178710000000002	0.0820923	0.08117680000000001	0.08117680000000001	0.0799561	0.083313
504	0.0839233	0.08026119999999999	0.0808716	0.0799561	0.0799561	0.08026119999999999	0.08026119999999999	0.0790405	0.0799561	0.078125	0.0808716
505	0.0823975	0.0778198	0.0778198	0.078125	0.0769043	0.0778198	0.0762939	0.0765991	0.0775146	0.07598880000000001	0.0775146
506	0.0790405	0.0753784	0.0741577	0.07507319999999999	0.0753784	0.07507319999999999	0.0741577	0.0741577	0.0738525	0.0714111	0.0747681
507	0.0753784	0.0717163	0.0726318	0.07110599999999999	0.07324220000000001	0.0708008	0.0717163	0.0704956	0.0723267	0.0689697	0.0723267
508	0.0738525	0.0689697	0.06988530000000001	0.0695801	0.06927489999999999	0.0686646	0.067749	0.0674438	0.0680542	0.06622310000000001	0.0686646
509	0.0695801	0.0665283	0.06591799999999999	0.06622310000000001	0.06622310000000001	0.0650024	0.0665283	0.06530760000000001	0.0650024	0.0634766	0.06591799999999999
510	0.0674438	0.0640869	0.0637817	0.0643921	0.0631714	0.0634766	0.0637817	0.0637817	0.062561	0.0610352	0.0640869
511	0.0640869	0.0598145	0.06042480000000001	0.0610352	0.061645500000000006	0.06072999999999999	0.0598145	0.06042480000000001	0.0598145	0.0585938	0.0610352
512	0.062255899999999996	0.058898900000000004	0.057983400000000004	0.0585938	0.058898900000000004	0.059204099999999996	0.058288599999999996	0.05767819999999999	0.058288599999999996	0.057373	0.058898900000000004
513	0.0601196	0.0558472	0.0561523	0.057373	0.0570679	0.055541999999999994	0.054931600000000004	0.0561523	0.0552368	0.0552368	0.05645750000000001
514	0.057373	0.05432130000000001	0.053710900000000006	0.0540161	0.05432130000000001	0.053710900000000006	0.053405799999999996	0.053405799999999996	0.052795400000000006	0.0512695	0.053710900000000006
515	0.0552368	0.0512695	0.052490199999999994	0.0531006	0.0521851	0.051574699999999994	0.051574699999999994	0.0506592	0.0521851	0.050354	0.052795400000000006
516	0.052795400000000006	0.049438499999999996	0.049743699999999995	0.051574699999999994	0.049133300000000005	0.050048800000000004	0.0488281	0.048217800000000005	0.049438499999999996	0.0485229	0.050048800000000004
517	0.0512695	0.0485229	0.0473022	0.049133300000000005	0.0488281	0.0466919	0.0469971	0.0469971	0.0466919	0.0457764	0.0460815
518	0.049438499999999996	0.046386699999999996	0.045471199999999996	0.0460815	0.0460815	0.045471199999999996	0.0460815	0.0448608	0.045471199999999996	0.0442505	0.0457764
519	0.0473022	0.0436401	0.0445557	0.0442505	0.0445557	0.043335000000000005	0.0430298	0.0424194	0.0436401	0.0421143	0.0442505
520	0.0460815	0.041503899999999996	0.0421143	0.0430298	0.0427246	0.0427246	0.0424194	0.041503899999999996	0.041503899999999996	0.0402832	0.0418091
521	0.043335000000000005	0.040588400000000004	0.040893599999999995	0.0411987	0.040588400000000004	0.039978	0.0402832	0.039978	0.0393677	0.0378418	0.0402832
522	0.0421143	0.038452099999999996	0.0387573	0.038452099999999996	0.0390625	0.0378418	0.037231400000000005	0.038147	0.038452099999999996	0.036621100000000004	0.0387573
523	0.039672900000000004	0.037536599999999996	0.0378418	0.0363159	0.0378418	0.036621100000000004	0.0363159	0.0357056	0.0369263	0.0354004	0.036621100000000004
524	0.038452099999999996	0.0357056	0.0357056	0.0357056	0.0350952	0.034789999999999995	0.0344849	0.03417969999999999	0.03417969999999999	0.0338745	0.0354004
